Gender	Age	Time	Pace_Per_Mi	Mile1	Mile2	Mile3	Mile4	Mile5	Mile6	Mile7	Mile8	Mile9	Mile10	Mile11	Mile12	Mile13	Mile14	Mile15	Mile16	Mile17	Mile18	Mile19	Mile20	Mile21	Mile22	Mile23	Mile24	Mile25	Mile26
Male	18-34	3:05:00	0:07:04	0:07:04	0:14:07	0:21:11	0:28:15	0:35:18	0:42:22	0:49:26	0:56:29	1:03:33	1:10:37	1:17:40	1:24:44	1:31:48	1:38:51	1:45:55	1:52:59	2:00:02	2:07:06	2:14:10	2:21:13	2:28:17	2:35:21	2:42:24	2:49:28	2:56:32	3:03:35
Male	35-39	3:10:00	0:07:15	0:07:15	0:14:30	0:21:45	0:29:00	0:36:16	0:43:31	0:50:46	0:58:01	1:05:16	1:12:31	1:19:46	1:27:01	1:34:16	1:41:32	1:48:47	1:56:02	2:03:17	2:10:32	2:17:47	2:25:02	2:32:17	2:39:33	2:46:48	2:54:03	3:01:18	3:08:33
Male	40-44	3:15:00	0:07:27	0:07:27	0:14:53	0:22:20	0:29:46	0:37:13	0:44:39	0:52:06	0:59:33	1:06:59	1:14:26	1:21:52	1:29:19	1:36:45	1:44:12	1:51:38	1:59:05	2:06:32	2:13:58	2:21:25	2:28:51	2:36:18	2:43:44	2:51:11	2:58:38	3:06:04	3:13:31
Male	45-49	3:25:00	0:07:49	0:07:49	0:15:39	0:23:28	0:31:18	0:39:07	0:46:57	0:54:46	1:02:36	1:10:25	1:18:15	1:26:04	1:33:54	1:41:43	1:49:33	1:57:22	2:05:11	2:13:01	2:20:50	2:28:40	2:36:29	2:44:19	2:52:08	2:59:58	3:07:47	3:15:37	3:23:26
Male	50-54	3:30:00	0:08:01	0:08:01	0:16:02	0:24:03	0:32:04	0:40:05	0:48:05	0:56:06	1:04:07	1:12:08	1:20:09	1:28:10	1:36:11	1:44:12	1:52:13	2:00:14	2:08:15	2:16:16	2:24:16	2:32:17	2:40:18	2:48:19	2:56:20	3:04:21	3:12:22	3:20:23	3:28:24
Female	18-34	3:35:00	0:08:12	0:08:12	0:16:25	0:24:37	0:32:49	0:41:02	0:49:14	0:57:27	1:05:39	1:13:51	1:22:04	1:30:16	1:38:28	1:46:41	1:54:53	2:03:05	2:11:18	2:19:30	2:27:43	2:35:55	2:44:07	2:52:20	3:00:32	3:08:44	3:16:57	3:25:09	3:33:22
Female	35-39	3:40:00	0:08:24	0:08:24	0:16:48	0:25:11	0:33:35	0:41:59	0:50:23	0:58:47	1:07:11	1:15:34	1:23:58	1:32:22	1:40:46	1:49:10	1:57:33	2:05:57	2:14:21	2:22:45	2:31:09	2:39:33	2:47:56	2:56:20	3:04:44	3:13:08	3:21:32	3:29:55	3:38:19
Male	55-59	3:40:00	0:08:24	0:08:24	0:16:48	0:25:11	0:33:35	0:41:59	0:50:23	0:58:47	1:07:11	1:15:34	1:23:58	1:32:22	1:40:46	1:49:10	1:57:33	2:05:57	2:14:21	2:22:45	2:31:09	2:39:33	2:47:56	2:56:20	3:04:44	3:13:08	3:21:32	3:29:55	3:38:19
Female	40-44	3:45:00	0:08:35	0:08:35	0:17:11	0:25:46	0:34:21	0:42:56	0:51:32	1:00:07	1:08:42	1:17:17	1:25:53	1:34:28	1:43:03	1:51:38	2:00:14	2:08:49	2:17:24	2:26:00	2:34:35	2:43:10	2:51:45	3:00:21	3:08:56	3:17:31	3:26:06	3:34:42	3:43:17
Female	45-49	3:55:00	0:08:58	0:08:58	0:17:56	0:26:55	0:35:53	0:44:51	0:53:49	1:02:47	1:11:45	1:20:44	1:29:42	1:38:40	1:47:38	1:56:36	2:05:34	2:14:33	2:23:31	2:32:29	2:41:27	2:50:25	2:59:23	3:08:22	3:17:20	3:26:18	3:35:16	3:44:14	3:53:12
Male	60-64	3:55:00	0:08:58	0:08:58	0:17:56	0:26:55	0:35:53	0:44:51	0:53:49	1:02:47	1:11:45	1:20:44	1:29:42	1:38:40	1:47:38	1:56:36	2:05:34	2:14:33	2:23:31	2:32:29	2:41:27	2:50:25	2:59:23	3:08:22	3:17:20	3:26:18	3:35:16	3:44:14	3:53:12
Female	50-54	4:00:00	0:09:10	0:09:10	0:18:19	0:27:29	0:36:38	0:45:48	0:54:58	1:04:07	1:13:17	1:22:27	1:31:36	1:40:46	1:49:55	1:59:05	2:08:15	2:17:24	2:26:34	2:35:44	2:44:53	2:54:03	3:03:12	3:12:22	3:21:32	3:30:41	3:39:51	3:49:00	3:58:10
Male	65-69	4:10:00	0:09:33	0:09:33	0:19:05	0:28:38	0:38:10	0:47:43	0:57:15	1:06:48	1:16:20	1:25:53	1:35:25	1:44:58	1:54:30	2:04:03	2:13:35	2:23:08	2:32:40	2:42:13	2:51:45	3:01:18	3:10:50	3:20:23	3:29:55	3:39:28	3:49:00	3:58:33	4:08:05
Male	70-74	4:25:00	0:10:07	0:10:07	0:20:14	0:30:21	0:40:27	0:50:34	1:00:41	1:10:48	1:20:55	1:31:02	1:41:09	1:51:16	2:01:22	2:11:29	2:21:36	2:31:43	2:41:50	2:51:57	3:02:04	3:12:11	3:22:17	3:32:24	3:42:31	3:52:38	4:02:45	4:12:52	4:22:59
Male	75-79	4:40:00	0:10:41	0:10:41	0:21:22	0:32:04	0:42:45	0:53:26	1:04:07	1:14:49	1:25:30	1:36:11	1:46:52	1:57:33	2:08:15	2:18:56	2:29:37	2:40:18	2:51:00	3:01:41	3:12:22	3:23:03	3:33:44	3:44:26	3:55:07	4:05:48	4:16:29	4:27:11	4:37:52
Male	80&over	4:55:00	0:11:16	0:11:16	0:22:31	0:33:47	0:45:02	0:56:18	1:07:33	1:18:49	1:30:05	1:41:20	1:52:36	2:03:51	2:15:07	2:26:22	2:37:38	2:48:54	3:00:09	3:11:25	3:22:40	3:33:56	3:45:11	3:56:27	4:07:43	4:18:58	4:30:14	4:41:29	4:52:45
Female	55-59	4:10:00	0:09:33	0:09:33	0:19:05	0:28:38	0:38:10	0:47:43	0:57:15	1:06:48	1:16:20	1:25:53	1:35:25	1:44:58	1:54:30	2:04:03	2:13:35	2:23:08	2:32:40	2:42:13	2:51:45	3:01:18	3:10:50	3:20:23	3:29:55	3:39:28	3:49:00	3:58:33	4:08:05
Female	60-64	4:25:00	0:10:07	0:10:07	0:20:14	0:30:21	0:40:27	0:50:34	1:00:41	1:10:48	1:20:55	1:31:02	1:41:09	1:51:16	2:01:22	2:11:29	2:21:36	2:31:43	2:41:50	2:51:57	3:02:04	3:12:11	3:22:17	3:32:24	3:42:31	3:52:38	4:02:45	4:12:52	4:22:59
Female	65-69	4:40:00	0:10:41	0:10:41	0:21:22	0:32:04	0:42:45	0:53:26	1:04:07	1:14:49	1:25:30	1:36:11	1:46:52	1:57:33	2:08:15	2:18:56	2:29:37	2:40:18	2:51:00	3:01:41	3:12:22	3:23:03	3:33:44	3:44:26	3:55:07	4:05:48	4:16:29	4:27:11	4:37:52
Female	70-74	4:55:00	0:11:16	0:11:16	0:22:31	0:33:47	0:45:02	0:56:18	1:07:33	1:18:49	1:30:05	1:41:20	1:52:36	2:03:51	2:15:07	2:26:22	2:37:38	2:48:54	3:00:09	3:11:25	3:22:40	3:33:56	3:45:11	3:56:27	4:07:43	4:18:58	4:30:14	4:41:29	4:52:45
Female	75-79	5:10:00	0:11:50	0:11:50	0:23:40	0:35:30	0:47:20	0:59:10	1:11:00	1:22:49	1:34:39	1:46:29	1:58:19	2:10:09	2:21:59	2:33:49	2:45:39	2:57:29	3:09:19	3:21:09	3:32:59	3:44:49	3:56:38	4:08:28	4:20:18	4:32:08	4:43:58	4:55:48	5:07:38
Female	80&over	5:25:00	0:12:24	0:12:24	0:24:49	0:37:13	0:49:37	1:02:01	1:14:26	1:26:50	1:39:14	1:51:38	2:04:03	2:16:27	2:28:51	2:41:16	2:53:40	3:06:04	3:18:28	3:30:53	3:43:17	3:55:41	4:08:05	4:20:30	4:32:54	4:45:18	4:57:43	5:10:07	5:22:31
																													
